TV Series,Utterances,dialog_ids,uttr_ids,seasons,episodes,start_times,end_times,sentiment,emotion,intensity,emotion2,intensity2,emotion3,intensity3
GA,look around you,1,0,1,1,00:02:27:589,00:02:28:567,neutral,neutral,,,,,
GA,say hello to your competition,1,1,1,1,00:02:28:910,00:02:30:513,neutral,neutral,,,,,
GA,eight of you will switch to an easier specialty,1,2,1,1,00:02:31:387,00:02:34:060,neutral,neutral,,,,,
GA,five of you will crack under the pressure,1,3,1,1,00:02:34:134,00:02:36:002,neutral,neutral,,,,,
GA,two of you will be asked to leave,1,4,1,1,00:02:36:059,00:02:37:723,neutral,neutral,,,,,
GA,this is your starting line,1,5,1,1,00:02:38:240,00:02:39:836,neutral,neutral,,,,,
GA,this is your arena,1,6,1,1,00:02:40:112,00:02:41:659,neutral,neutral,,,,,
GA,how well you play,1,7,1,1,00:02:42:305,00:02:43:645,neutral,neutral,,,,,
GA,that's up to you,1,8,1,1,00:02:45:382,00:02:46:774,neutral,neutral,,,,,
GA,like i said,1,9,1,1,00:02:48:018,00:02:49:252,negative ,acceptance,1,disgust,1,,
GA,i'm screwed,1,10,1,1,00:02:50:552,00:02:51:714,negative ,disgust,2,sadness,1,,
GA,"okay, martin, robinson, bond, hawkins",1,11,1,1,00:03:02:303,00:03:05:937,neutral,neutral,,,,,
GA,only 6 women out of 20,1,12,1,1,00:03:10:321,00:03:11:990,negative ,surprise,2,disgust,1,,
GA,yeah. i hear one of them's a model,1,13,1,1,00:03:12:057,00:03:14:315,negative ,disgust,2,sadness,1,,
GA,"seriously, that's gonna help with the respect thing?",1,14,1,1,00:03:14:458,00:03:17:371,negative ,surprise,2,disgust,3,,
GA,"you're cristina, right? - patton, monroe",1,15,1,1,00:03:18:008,00:03:20:546,neutral,neutral,,,,,
GA,which resident are you assigned to? i got bailey,1,16,1,1,00:03:22:158,00:03:23:986,neutral,neutral,,,,,
GA,the nazi? me too,1,17,1,1,00:03:24:159,00:03:25:701,positive,surprise,2,joy,1,,
GA,you got the nazi? so did i,1,18,1,1,00:03:25:778,00:03:27:668,positive,surprise,3,joy,3,,
GA,"at least we'll be tortured together, right?",1,19,1,1,00:03:27:750,00:03:29:573,positive,joy,2,,,,
GA,i'm george o'malley,2,0,1,1,00:03:30:131,00:03:32:348,positive,acceptance,1,joy,2,,
GA,"uh, we met at the mixer. you had on a black dress with a slit up the side, strappy sandals",2,1,1,1,00:03:32:439,00:03:39:832,positive,joy,2,,,,
GA,"now you think i'm gay. no, i'm not gay",2,2,1,1,00:03:41:714,00:03:44:216,negative ,sadness,1,disgust,1,,
GA,it's - it's just that you were - you were very unforgettable,2,3,1,1,00:03:44:304,00:03:49:576,positive,acceptance,2,,,,
